category,n_trials,nonopt_rate,mean_brand_freq,log_mean_freq,max_brand_freq,log_max_freq
backpacks,40,0.175,5130.75,8.543202010597287,8775,9.079776001955066
blenders,40,0.2,21310.75,9.967013842790832,47642,10.771490993778757
cameras,40,0.0,169571.5,12.041035842966403,417616,12.942320023534245
coffee_makers,469,0.43923240938166314,47737.5,10.773493479206486,148747,11.910008877939335
electric_toothbrushes,40,0.05,5084.5,8.534148632065651,8020,8.989818381366925
external_ssds,60,0.016666666666666666,211168.0,12.260414039737931,826667,13.62515844237498
headphones,600,0.39666666666666667,140424.66666666666,11.852433564882094,417616,12.942320023534245
keyboards,60,0.0,9200.75,9.127148962339401,24124,10.091003926207186
laptops,763,0.20969855832241152,162321.41666666666,11.997339862675378,263492,12.48178208114579
monitors,40,0.0,338077.25,12.731032656546851,826667,13.62515844237498
portable_speakers,60,0.16666666666666666,132596.5,11.795073502860841,417616,12.942320023534245
robot_vacuums,60,0.08333333333333333,594.0,6.38856140554563,1396,7.242082359256962
running_shoes,580,0.12413793103448276,12292.916666666666,9.416859839069707,34696,10.454408506866061
smartphones,807,0.18587360594795538,279348.75,12.540219859952225,826667,13.62515844237498
smartwatches,60,0.11666666666666667,278978.25,12.538892685277855,826667,13.62515844237498
tablets,40,0.25,306731.0,12.633729681144835,826667,13.62515844237498
tvs,660,0.11969696969696969,365684.8333333333,12.80952986489473,826667,13.62515844237498
water_bottles,40,0.075,1073.5,6.979610716082565,1891,7.545389749611823
wireless_earbuds,260,0.25384615384615383,265700.3333333333,12.490128149926257,826667,13.62515844237498
wireless_routers,40,0.0,54496.25,10.905905520662655,78381,11.269349588141523
