assortment_id,category,n_trials,n_nonopt,nonopt_rate,max_freq,log_max_freq,mean_freq,log_mean_freq,freq_range,top_brand
sr_backpacks_01,backpacks,40,7,0.175,8775,9.079776001955066,5130.75,8.543202010597287,7883,Osprey
sr_blenders_01,blenders,40,8,0.2,47642,10.771490993778757,21310.75,9.967013842790832,45091,Vitamix
sr_cameras_01,cameras,40,0,0.0,417616,12.942320023534245,169571.5,12.041035842966403,396753,Sony
sr_coffee_makers_01,coffee,200,26,0.13,118667,11.68408495705799,35508.0,10.477541464459218,116436,Keurig
sr_coffee_makers_02,coffee,149,118,0.7919463087248322,148747,11.910008877939335,38868.5,10.567965160372745,148123,Nespresso
sr_coffee_makers_03,coffee,120,62,0.5166666666666667,148747,11.910008877939335,68836.0,11.139496670061519,148487,Nespresso
sr_earbuds_01,earbuds,100,0,0.0,826667,13.62515844237498,377465.75,12.841237764321793,824579,Samsung
sr_earbuds_02,earbuds,80,24,0.3,826667,13.62515844237498,282869.5,12.552744474722694,818280,Samsung
sr_earbuds_03,earbuds,80,42,0.525,417616,12.942320023534245,136765.75,11.826032199072243,417615,Sony
sr_electric_toothbrushes_01,electric,40,2,0.05,8020,8.989818381366925,5084.5,8.534148632065651,6224,Oral-B
sr_external_ssds_01,external,60,1,0.016666666666666666,826667,13.62515844237498,211168.0,12.260414039737931,824483,Samsung
sr_headphones_01,headphones,200,36,0.18,417616,12.942320023534245,138888.5,11.841433931932585,391384,Sony
sr_headphones_02,headphones,200,80,0.4,417616,12.942320023534245,156459.0,11.960555665239072,384684,Sony
sr_headphones_03,headphones,200,122,0.61,417616,12.942320023534245,125926.5,11.743461623503936,414104,Sony
sr_keyboards_01,keyboards,60,0,0.0,24124,10.091003926207186,9200.75,9.127148962339401,23568,Logitech
sr_laptops_01,laptops,183,79,0.43169398907103823,250298,12.430411482206132,152373.0,11.93409330400568,195376,Dell
sr_laptops_02,laptops,280,27,0.09642857142857143,263492,12.48178208114579,215734.5,12.281808399271164,147259,Apple
sr_laptops_03,laptops,300,54,0.18,232915,12.358433152525215,118856.75,11.685682678908062,177993,HP
sr_monitors_01,monitors,40,0,0.0,826667,13.62515844237498,338077.25,12.731032656546851,771745,Samsung
sr_portable_speakers_01,portable,60,10,0.16666666666666666,417616,12.942320023534245,132596.5,11.795073502860841,416552,Sony
sr_robot_vacuums_01,robot,60,5,0.08333333333333333,1396,7.242082359256962,594.0,6.38856140554563,1113,Shark
sr_running_shoes_01,running,200,43,0.215,26757,10.194588773033564,11142.0,9.318566777047053,24160,Nike
sr_running_shoes_02,running,200,29,0.145,34696,10.454408506866061,15687.75,9.660699173974656,34210,Brooks
sr_running_shoes_03,running,180,0,0.0,26757,10.194588773033564,10049.0,9.215327913487222,24160,Nike
sr_smartphones_01,smartphones,300,64,0.21333333333333335,826667,13.62515844237498,279746.75,12.541643583246385,818280,Samsung
sr_smartphones_02,smartphones,267,15,0.056179775280898875,826667,13.62515844237498,279149.75,12.539507237462463,818280,Samsung
sr_smartphones_03,smartphones,240,71,0.29583333333333334,826667,13.62515844237498,279149.75,12.539507237462463,818280,Samsung
sr_smartwatches_01,smartwatches,60,7,0.11666666666666667,826667,13.62515844237498,278978.25,12.538892685277855,814405,Samsung
sr_tablets_01,tablets,40,10,0.25,826667,13.62515844237498,306731.0,12.633729681144835,806135,Samsung
sr_tvs_01,tvs,220,12,0.05454545454545454,826667,13.62515844237498,386938.25,12.866022982945594,743619,Samsung
sr_tvs_02,tvs,220,14,0.06363636363636363,826667,13.62515844237498,423987.75,12.95746220084322,606245,Samsung
sr_tvs_03,tvs,220,53,0.2409090909090909,826667,13.62515844237498,286128.5,12.564199784523067,812290,Samsung
sr_water_bottles_01,water,40,3,0.075,1891,7.545389749611823,1073.5,6.979610716082565,1222,Hydro Flask
sr_wireless_routers_01,wireless,40,0,0.0,78381,11.269349588141523,54496.25,10.905905520662655,69994,Netgear
