model1,model2,rho,p,same_provider
claude-haiku-4.5,deepseek-v3,0.8720815992723809,0.05385421772754213,False
claude-haiku-4.5,gemini-2.0-flash,0.9145520925315938,8.055109809812365e-05,False
claude-haiku-4.5,gpt-4.1-mini,0.7352941176470588,0.09582994097292896,False
claude-haiku-4.5,gpt-4.1-nano,0.8188159542574456,0.0020526462977026273,False
claude-haiku-4.5,gpt-4o,0.9746794344808963,0.004818230468198565,False
claude-haiku-4.5,gpt-4o-mini,1.0,0.0,False
claude-haiku-4.5,kimi-k2,0.10259783520851543,0.8695979205185651,False
claude-haiku-4.5,llama-3.3-70b,-0.05129891760425771,0.934712848108234,False
claude-haiku-4.5,qwen-2.5-72b,0.9856107606091624,0.0003090856678496653,False
deepseek-v3,gemini-2.0-flash,0.5797710356524485,0.22778395671501586,False
deepseek-v3,gpt-4.1-mini,0.753702346348183,0.08352328137325983,False
deepseek-v3,gpt-4.1-nano,0.5441176470588235,0.26437035670669656,False
deepseek-v3,gpt-4o,0.753702346348183,0.08352328137325983,False
deepseek-v3,gpt-4o-mini,0.8060599359358183,0.052771813251892646,False
deepseek-v3,kimi-k2,0.4058397249567139,0.42466250756136437,True
deepseek-v3,llama-3.3-70b,-0.4058397249567139,0.42466250756136437,True
deepseek-v3,qwen-2.5-72b,0.8116794499134278,0.049857585101340404,True
gemini-2.0-flash,gpt-4.1-mini,0.7363636363636364,0.05911574446623822,False
gemini-2.0-flash,gpt-4.1-nano,0.5089853244038033,0.021907219551273754,False
gemini-2.0-flash,gpt-4o,0.942857142857143,0.004804664723032055,False
gemini-2.0-flash,gpt-4o-mini,0.9121593238215745,0.011235087944059495,False
gemini-2.0-flash,kimi-k2,-0.2571428571428572,0.6227871720116619,False
gemini-2.0-flash,llama-3.3-70b,0.2,0.7040000000000001,False
gemini-2.0-flash,qwen-2.5-72b,0.9189562119494703,0.0034366261562175354,False
gpt-4.1-mini,gpt-4.1-nano,0.5727272727272728,0.17898547745372054,True
gpt-4.1-mini,gpt-4o,1.0,0.0,True
gpt-4.1-mini,gpt-4o-mini,0.9710083124552245,0.001248592903197677,True
gpt-4.1-mini,kimi-k2,-0.08571428571428573,0.8717434402332361,False
gpt-4.1-mini,llama-3.3-70b,-0.08571428571428573,0.8717434402332361,False
gpt-4.1-mini,qwen-2.5-72b,0.6847124716486249,0.08966645319106842,False
gpt-4.1-nano,gpt-4o,0.8116794499134278,0.049857585101340404,True
gpt-4.1-nano,gpt-4o-mini,0.8508410434878082,0.03171331782219683,True
gpt-4.1-nano,kimi-k2,-0.23190841426097936,0.6583735712609272,False
gpt-4.1-nano,llama-3.3-70b,0.05797710356524484,0.9131317851623264,False
gpt-4.1-nano,qwen-2.5-72b,0.8468812149338255,0.016197127467871626,False
gpt-4o,gpt-4o-mini,0.9710083124552245,0.001248592903197677,True
gpt-4o,kimi-k2,-0.08571428571428573,0.8717434402332361,False
gpt-4o,llama-3.3-70b,-0.08571428571428573,0.8717434402332361,False
gpt-4o,qwen-2.5-72b,0.942857142857143,0.004804664723032055,False
gpt-4o-mini,kimi-k2,0.08827348295047496,0.8679336982351337,False
gpt-4o-mini,llama-3.3-70b,-0.14712247158412492,0.7809085271647663,False
gpt-4o-mini,qwen-2.5-72b,0.9710083124552246,0.0012485929031976685,False
kimi-k2,llama-3.3-70b,-0.3714285714285715,0.4684781341107872,True
kimi-k2,qwen-2.5-72b,0.2,0.7040000000000001,True
llama-3.3-70b,qwen-2.5-72b,-0.028571428571428574,0.9571545189504373,True
