brand,familiarity,brand_only_count,positive_ratio,review_ratio,comparison_ratio,nonopt_rate,nonopt_chosen,nonopt_available,baseline_rate
De'Longhi,high,247694,0.00000404,0.00000404,0.00007267,0.284237,1264,4447,0.744966
AeroPress,medium,368525,0.00005427,0.00023336,0.00143817,0.225672,705,3124,0.516667
Beyerdynamic,medium,202121,0.00005937,0.00001484,0.00017811,0.215502,1379,6399,0.580000
OnePlus,medium,6468305,0.00001020,0.00001190,0.00002180,0.130701,1258,9625,0.200000
JBL,medium,2031155,0.00003446,0.00005366,0.00105999,0.076695,1499,19545,0.174194
Sennheiser,medium,1355275,0.00004058,0.00004206,0.00021177,0.076563,490,6400,0.070000
Shark,medium,8747355,0.00002138,0.00008345,0.00313546,0.072043,134,1860,0.066667
Cuisinart,medium,931928,0.00007833,0.00003219,0.00037235,0.071207,391,5491,0.125000
Ninja,high,9036660,0.00002335,0.00012316,0.00090498,0.064516,80,1240,0.125000
Vizio,medium,1003413,0.00003488,0.00002591,0.00026609,0.063409,833,13137,0.084091
ASUS,medium,8949104,0.00001307,0.00000760,0.00005677,0.062661,1215,19390,0.150977
HOKA,medium,387441,0.00000516,0.00001032,0.00003872,0.058275,344,5903,0.055000
ASICS,medium,1101561,0.00009441,0.00001180,0.00004357,0.036959,457,12365,0.078947
Google,high,1531567,0.00001241,0.00032712,0.00060787,0.035392,1023,28905,0.061489
Fitbit,medium,3497752,0.00003860,0.00011979,0.00041684,0.032796,61,1860,0.033333
KitchenAid,high,1576290,0.00002284,0.00003362,0.00031403,0.031452,39,1240,0.075000
HyperX,medium,446060,0.00004708,0.00004260,0.00013227,0.030108,56,1860,
Dell,high,29720324,0.00001750,0.00000905,0.00009637,0.026476,477,18016,0.027833
Audio-Technica,medium,464686,0.00005595,0.00001506,0.00012697,0.026410,169,6399,0.020000
Herschel,medium,1891226,0.00003173,0.00001216,0.00005816,0.025806,32,1240,0.075000
Insignia,medium,3168517,0.00000915,0.00004418,0.00004608,0.025776,167,6479,0.036364
Motorola,medium,17826858,0.00001099,0.00000516,0.00004263,0.025386,395,15560,0.015779
The North Face,high,11930160,0.00000034,0.00000034,0.00001417,0.025000,31,1240,0.100000
Brooks,medium,34696,0.00025940,0.00034586,0.00000000,0.024903,147,5903,0.020000
Jabra,medium,592470,0.00005064,0.00004388,0.00009283,0.024390,74,3034,
Nespresso,high,1282183,0.00003276,0.00006395,0.00102559,0.023379,177,7571,0.026022
Philips,high,7797445,0.00007464,0.00002283,0.00007926,0.022859,130,5687,0.010582
Beats,high,4961815,0.00002338,0.00006268,0.00034907,0.022305,198,8877,0.042857
Acer,medium,6217234,0.00001994,0.00002123,0.00011484,0.022117,374,16910,0.033126
iRobot,high,1632320,0.00001164,0.00004717,0.00006433,0.020430,38,1860,0.016667
Ultimate Ears,medium,7427473,0.00000067,0.00000242,0.00000202,0.020134,36,1788,0.050000
Sony,high,46068494,0.00002312,0.00001710,0.00018054,0.019681,811,41207,0.030303
New Balance,medium,1632753,0.00002634,0.00001654,0.00014393,0.019526,121,6197,0.005000
Hydro Flask,high,182671,0.00001642,0.00050364,0.00303277,0.019355,24,1240,0.075000
Osprey,medium,2462652,0.00001096,0.00004670,0.00022496,0.018548,23,1240,
Lenovo,high,8127529,0.00003519,0.00003728,0.00012919,0.018489,375,20282,0.035484
Garmin,medium,5467284,0.00002213,0.00004006,0.00021876,0.017742,33,1860,
Samsung,high,49542932,0.00002654,0.00001342,0.00017264,0.017149,965,56272,0.033568
Fujifilm,medium,7959182,0.00000905,0.00000729,0.00003958,0.015323,19,1240,
Hamilton Beach,medium,341655,0.00008488,0.00002927,0.00012293,0.015323,19,1240,
Vistara,low,231246,0.00002162,0.00000432,0.00000865,0.014829,101,6811,0.018182
Vitamix,high,844069,0.00009596,0.00041940,0.00192757,0.014516,18,1240,
LG,high,20978452,0.00001969,0.00002355,0.00018729,0.013498,286,21188,0.015714
JanSport,high,111049,0.00012607,0.00000000,0.00006304,0.012903,16,1240,
Linksys,medium,1237949,0.00001454,0.00002989,0.00014379,0.012097,15,1240,
Mr. Coffee,high,171867,0.00001746,0.00005818,0.00022692,0.012020,66,5491,0.005000
Saucony,medium,341294,0.00008204,0.00001465,0.00024319,0.011349,70,6168,
CamelBak,medium,239454,0.00001253,0.00003341,0.00005847,0.011290,14,1240,
Amazon,medium,1774909,0.00000225,0.00004057,0.00005127,0.011290,14,1240,
Salomon,medium,1966017,0.00002187,0.00003662,0.00026500,0.010842,64,5903,0.005000
Nike,high,19165470,0.00002833,0.00000772,0.00029767,0.010510,192,18268,0.041379
Oral-B,high,322111,0.00002173,0.00004346,0.00034150,0.010484,26,2480,
Shokz,medium,62635,0.00001597,0.00027141,0.00006386,0.009285,23,2477,0.037500
Adidas,high,7860525,0.00003956,0.00000738,0.00023993,0.009220,114,12365,0.002632
Corsair,medium,2308139,0.00002946,0.00005676,0.00155493,0.009140,17,1860,
HP,high,53972452,0.00001668,0.00003533,0.00016166,0.008800,232,26364,0.022280
eufy,medium,212440,0.00000941,0.00001412,0.00025890,0.008602,16,1860,
Stanley,medium,30223310,0.00000936,0.00002773,0.00014959,0.007682,24,3124,
Breville,medium,614984,0.00009431,0.00012033,0.00103743,0.006943,69,9938,
Apple,high,207563207,0.00001334,0.00004556,0.00036188,0.006427,278,43253,0.009510
Razer,high,2589703,0.00001467,0.00006294,0.00012781,0.004839,9,1860,
Bose,high,6332420,0.00002669,0.00004437,0.00017782,0.004336,91,20987,0.006061
Logitech,high,3451388,0.00002405,0.00006490,0.00008895,0.003763,7,1860,
Quip,medium,1353047,0.00000591,0.00006060,0.00010125,0.003226,4,1240,
Nikon,high,9524823,0.00003192,0.00003454,0.00052820,0.003226,4,1240,
Keurig,high,1400359,0.00003713,0.00005142,0.00050773,0.002902,25,8615,
SanDisk,high,1147855,0.00001481,0.00001568,0.00005314,0.002335,3,1285,0.016667
Western Digital,high,8167506,0.00000122,0.00000171,0.00001518,0.002335,3,1285,
Seagate,high,1588312,0.00001511,0.00001385,0.00028080,0.002335,3,1285,
Yeti,high,2512540,0.00002587,0.00019144,0.00075581,0.001613,2,1240,
S'well,medium,833984,0.00000120,0.00000120,0.00000839,0.001613,2,1240,
Netgear,high,1678482,0.00000953,0.00001311,0.00019601,0.001613,2,1240,
Dyson,high,4399945,0.00039182,0.00009409,0.00022841,0.000538,1,1860,
