category,n,non_optimal_k,non_optimal_rate,ci_lo,ci_hi
backpacks,360,31,0.086111,0.061326,0.119636
blenders,360,74,0.205556,0.167024,0.250304
cameras,360,30,0.083333,0.058994,0.116471
coffee_makers,1080,589,0.54537,0.515564,0.574855
electric_toothbrushes,360,34,0.094444,0.068373,0.12908
external_ssds,360,4,0.011111,0.004329,0.028217
headphones,1080,474,0.438889,0.40956,0.468651
keyboards,360,4,0.011111,0.004329,0.028217
laptops,1080,257,0.237963,0.213523,0.264261
monitors,360,41,0.113889,0.085069,0.150862
portable_speakers,360,86,0.238889,0.197744,0.285547
robot_vacuums,360,62,0.172222,0.136732,0.214634
running_shoes,1080,138,0.127778,0.109178,0.149016
smartphones,1080,209,0.193519,0.17106,0.21815
smartwatches,360,46,0.127778,0.09718,0.166236
tablets,360,111,0.308333,0.262861,0.357853
tvs,1080,143,0.132407,0.11349,0.153931
water_bottles,360,33,0.091667,0.066016,0.12594
wireless_earbuds,1080,209,0.193519,0.17106,0.21815
wireless_routers,360,25,0.069444,0.047477,0.100504
