model,provider,n_low_spec,n_high_spec,nonopt_rate_low,nonopt_rate_high,OR,log_OR,SE_log_OR,CI95_lo,CI95_hi,z,p_value,significant_p05
claude-haiku-4.5,anthropic,3400,4080,0.1385,0.0017,93.57,4.5387,0.3815,44.29,197.64,11.9,1.24e-32,True
claude-sonnet-4.6,anthropic,3400,4080,0.1997,0.0015,169.44,5.1325,0.4108,75.74,379.04,12.49,8.05e-36,True
deepseek-r1,openrouter,3400,4080,0.1703,0.0037,55.62,4.0186,0.2627,33.24,93.07,15.3,7.75e-53,True
deepseek-v3,openrouter,3400,4080,0.3006,0.001,437.94,6.0821,0.5016,163.84,1170.63,12.12,7.85e-34,True
gemini-2.0-flash,google,3400,4079,0.1429,0.0002,680.13,6.5223,1.0013,95.55,4841.02,6.51,7.33e-11,True
gemini-2.5-flash,google,3400,4080,0.12,0.0,1114.04,7.0157,1.4153,69.53,17849.04,4.96,7.15e-07,True
gemini-2.5-flash-lite,google,3400,4080,0.0991,0.0,899.08,6.8014,1.4155,56.1,14410.05,4.81,1.55e-06,True
gemini-2.5-pro,google,3400,4080,0.2726,0.1091,3.06,1.1191,0.0633,2.7,3.47,17.68,5.78e-70,True
gemini-3-flash,google,3400,4080,0.0768,0.0,679.76,6.5217,1.4158,42.39,10901.27,4.61,4.09e-06,True
gemma-3-27b,google,3400,4080,0.1135,0.0,1046.35,6.9531,1.4153,65.3,16766.11,4.91,8.98e-07,True
gpt-4.1-mini,openai,3400,4080,0.0703,0.0,618.24,6.4269,1.4159,38.54,9917.07,4.54,5.65e-06,True
gpt-4.1-nano,openai,3400,4080,0.1571,0.0002,760.01,6.6333,1.0012,106.8,5408.6,6.63,3.47e-11,True
gpt-4o,openai,3400,4080,0.1053,0.0,961.62,6.8686,1.4154,60.0,15410.49,4.85,1.22e-06,True
gpt-4o-mini,openai,3400,4080,0.1256,0.0,1173.31,7.0676,1.4152,73.24,18797.2,4.99,5.92e-07,True
gpt-5-mini,openai,3400,4080,0.1365,0.0,1290.92,7.1631,1.4152,80.59,20678.82,5.06,4.16e-07,True
kimi-k2,openrouter,3400,4080,0.2006,0.0049,50.94,3.9306,0.2282,32.57,79.67,17.22,1.77e-66,True
llama-3.3-70b,openrouter,3400,4080,0.2438,0.0,2632.53,7.8757,1.4149,164.44,42143.4,5.57,2.60e-08,True
qwen-2.5-72b,openrouter,3400,4080,0.2453,0.0,2653.56,7.8837,1.4149,165.76,42479.84,5.57,2.52e-08,True
