model,n_nonoptimal,brand_cited,attribute_confabulated,confabulation_rate
claude-haiku-4.5,92,17,75,81.5
deepseek-r1,24,13,11,45.8
deepseek-v3,111,28,83,74.8
gemini-2.0-flash,137,11,126,92.0
gemini-2.5-flash,11,0,9,100.0
gemini-2.5-flash-lite,13,1,12,92.3
gemini-2.5-pro,19,0,19,100.0
gemini-3-flash,11,2,9,81.8
gemma-3-27b,25,5,20,80.0
gpt-4.1-mini,35,6,29,82.9
gpt-4.1-nano,85,8,77,90.6
gpt-4o,56,2,54,96.4
gpt-4o-mini,66,2,64,97.0
gpt-5-mini,10,2,7,77.8
kimi-k2,70,5,65,92.9
llama-3.3-70b,99,17,82,82.8
qwen-2.5-72b,160,4,156,97.5
